,Latitude,Longitude
96681,51.458764,-2.575336
132207,51.457543,-2.580702
152553,51.461915,-2.592979
237084,51.485791,-2.604666
253840,51.427458,-2.567721
314555,51.461938,-2.586645
368639,51.4493,-2.615509
409285,51.46869,-2.593959
434551,51.461723,-2.584584
590244,51.458457,-2.574165
707834,51.452389,-2.604267
759507,51.458926,-2.581195
774414,51.460283,-2.611281
827096,51.465522,-2.569115
877082,51.454553,-2.613421
985056,51.488114,-2.679547
1048316,51.468176,-2.590484
1114100,51.44173,-2.557797
1249455,51.464772,-2.589663
1303780,51.465481,-2.558908
1433815,51.458581,-2.58712
1460298,51.444308,-2.615444
1678664,51.459691,-2.556937
1700448,51.466559,-2.572107
1759047,51.442528,-2.617204
1777269,51.436125,-2.573424
2097828,51.472149,-2.594121
2449971,51.466095,-2.564054
2469503,51.441199,-2.620608
2697960,51.423052,-2.59144
2710337,51.440274,-2.617028
2739188,51.46198,-2.565328
2938602,51.489928,-2.566308
2990846,51.438433,-2.536105
3026970,51.462884,-2.552873
3121108,51.454706,-2.597536
3175197,51.456593,-2.598105
3502890,51.456334,-2.595643
3508819,51.454294,-2.600939
3705190,51.442939,-2.597136
3772717,51.451345,-2.561095
3778471,51.451551,-2.587001
3815634,51.499028,-2.665595
3818852,51.486637,-2.672165
4089939,51.485591,-2.615349
4102186,51.427414,-2.605204
4131318,51.451596,-2.590127
4156348,51.44982,-2.596464
4228292,51.454541,-2.593056
4324612,51.462707,-2.603367
4355913,51.480742,-2.647627
4406996,51.471462,-2.577165
4458279,51.463026,-2.515751
4555168,51.476641,-2.566028
4826824,51.463842,-2.570648
4831604,51.458764,-2.575336
5078779,51.460847,-2.601342
5109689,51.472176,-2.552035
5169845,51.474935,-2.610397
5353242,51.45558,-2.593962
5385865,51.459419,-2.592169
5502728,51.465522,-2.569115
5529622,51.496273,-2.671198
5577217,51.46641,-2.572956
5604079,51.442493,-2.5367
5762952,51.457122,-2.563857
5783068,51.446871,-2.598095
5799352,51.455438,-2.611015
5839474,51.465106,-2.601717
5971384,51.450332,-2.616012
6050610,51.457006,-2.565325
6112472,51.463816,-2.545544
6129385,51.464795,-2.585286
6299086,51.455211,-2.604449
6348315,51.444218,-2.617556
6360030,51.437336,-2.602788
6401037,51.448098,-2.613392
6563837,51.423234,-2.630547
6627183,51.458206,-2.56282
6780625,51.445985,-2.588772
6885291,51.501876,-2.688065
6935055,51.469525,-2.576089
7042690,51.470735,-2.576925
7133824,51.457182,-2.590053
7191748,51.44982,-2.596464
7206472,51.457798,-2.567176
7229048,51.436809,-2.610751
7252295,51.454514,-2.614111
7381329,51.453298,-2.593228
7399539,51.507691,-2.617319
7524098,51.495279,-2.675087
7554825,51.437011,-2.608251
7641461,51.441589,-2.609736
7829281,51.463842,-2.570648
7895399,51.452175,-2.592926
7912026,51.469153,-2.613876
8207899,51.457205,-2.613614
8240114,51.488056,-2.67246
8240564,51.495765,-2.688995
8249992,51.470136,-2.581411
8361373,51.46121,-2.584707
8366644,51.455924,-2.591764
8400544,51.469384,-2.567839
8519473,51.464183,-2.61699
8566769,51.463583,-2.591879
8620718,51.489647,-2.53842
8756583,51.456218,-2.557283
8770079,51.44942,-2.593624
8807723,51.403375,-2.570326
8934713,51.434504,-2.602708
9121174,51.454622,-2.578407
9163637,51.46268,-2.576636
9174220,51.477494,-2.517671
9201227,51.488992,-2.542056
9336902,51.440744,-2.611437
9338126,51.437748,-2.616806
9359327,51.439086,-2.602944
9388164,51.475822,-2.570063
9516258,51.466835,-2.585528
9719000,51.440372,-2.618899
9837062,51.46326,-2.584748
10277753,51.470594,-2.576362
10286025,51.423234,-2.630547
10350602,51.440591,-2.579108
10469965,51.443879,-2.580054
10486858,51.46585,-2.562525
10498291,51.459014,-2.559376
10596560,51.439584,-2.614846
10835622,51.469116,-2.58596
10919223,51.454237,-2.574473
11004628,51.417026,-2.593533
11029756,51.466877,-2.576948
11506685,51.483616,-2.539602
11563736,51.497877,-2.600907
11587139,51.436179,-2.610757
11680035,51.44256,-2.602742
11690817,51.439652,-2.601625
11863452,51.495723,-2.668266
11920562,51.442473,-2.594844
11933874,51.444308,-2.615444
12088749,51.455033,-2.580787
12504982,51.493757,-2.677125
12812033,51.460663,-2.578971
12912039,51.463741,-2.56525
12973569,51.425001,-2.590084
13026755,51.468708,-2.602741
13122378,51.440008,-2.605989
13201666,51.438583,-2.614965
13257037,51.461515,-2.541845
13259862,51.463559,-2.539322
13329747,51.440683,-2.601929
13610947,51.470593,-2.603356
14065020,51.428977,-2.546998
14075280,51.41686,-2.615245
14171216,51.434632,-2.550978
14381232,51.466729,-2.57604
14403104,51.489777,-2.674919
14452903,51.466135,-2.572462
14464227,51.462635,-2.552367
14479018,51.452928,-2.595625
14507316,51.485798,-2.603197
14579288,51.454512,-2.614113
14628882,51.453536,-2.592712
14722262,51.440133,-2.570324
14765319,51.446914,-2.588237
14766308,51.443687,-2.582642
14942104,51.427347,-2.557076
15040701,51.442602,-2.608141
15151345,51.463859,-2.516668
15239913,51.463677,-2.552509
15280327,51.452661,-2.610433
15347686,51.462883,-2.593553
15455626,51.417772,-2.551149
15486502,51.458457,-2.574165
15710865,51.458587,-2.554635
15752260,51.413052,-2.61945
15892328,51.457867,-2.594813
16099973,51.449663,-2.613211
16139050,51.458436,-2.594546
16307378,51.469261,-2.617289
16332688,51.481089,-2.599189
16549887,51.509469,-2.64119
16653031,51.463587,-2.591158
16773272,51.470954,-2.608242
16929352,51.444813,-2.571303
16950870,51.461835,-2.522575
17083233,51.45747,-2.573793
17107667,51.470175,-2.593361
17133576,51.44677,-2.598569
17175015,51.457218,-2.56979
17210795,51.454818,-2.562505
17226227,51.457218,-2.56979
17310310,51.461311,-2.566011
17367489,51.451983,-2.599326
17441513,51.465861,-2.517266
17486532,51.487108,-2.617645
17532029,51.441518,-2.560831
17635686,51.458611,-2.564639
17684503,51.462016,-2.601129
17703831,51.463366,-2.609568
