ind,Latitude,Longitude
246,51.477768428,-2.721352998
288,51.468991993,-2.567746873
896,51.478591073,-2.609711276
1735,51.436432543,-2.60561056
2386,51.477907506,-2.701397567
2399,51.477907506,-2.701397567
2499,51.49357992,-2.667514224
3292,51.490247588,-2.666889407
3658,51.445329255,-2.623714702
3722,51.313263569,-2.885205029
3881,51.459357799,-2.588641815
4156,51.462901536,-2.555263093
4305,51.436273539,-2.567312213
4348,51.480905739,-2.546971238
4404,51.463607049,-2.571235546
4530,51.476487248,-2.724975729
4535,51.476487248,-2.724975729
4641,51.436678525,-2.555980764
5708,51.478283311,-2.701705724
6407,51.435447872,-2.615121081
6443,51.462901536,-2.555263093
6728,51.48057562,-2.54642008
6769,51.480849079,-2.702681137
6872,51.463558031,-2.575740518
6873,51.463558031,-2.575740518
7047,51.445329255,-2.623714702
7626,51.456156937,-2.581404367
7754,51.482101062,-2.712752116
7846,51.313263569,-2.885205029
7855,51.313263569,-2.885205029
8132,51.354374105,-2.936174099
9076,51.481564731,-2.538641241
9677,51.482101062,-2.712752116
9709,51.313263569,-2.885205029
10007,51.471716835,-2.558307222
10364,51.450988007,-2.606004676
10505,51.474419198,-2.547743117
11325,51.488191989,-2.648640059
11456,51.457284489,-2.558476475
11579,51.42689289,-2.545074466
11608,51.437768598,-2.613238828
11976,51.481202107,-2.644364727
12522,51.343693349,-2.970213474
13134,51.456237081,-2.749424503
13480,51.490399351,-2.654317504
13672,51.456034504,-2.605582182
13881,51.448810058,-2.72219153
14435,51.462914481,-2.578611344
14719,51.339952149,-2.956065218
14731,51.339952149,-2.956065218
14811,51.457284489,-2.558476475
14985,51.488881389,-2.634391022
15169,51.490675887,-2.545835109
15182,51.490675887,-2.545835109
15184,51.490675887,-2.545835109
15524,51.492935214,-2.681116726
15630,51.47263269,-2.558577565
15697,51.421180654,-2.616338846
15995,51.463558031,-2.575740518
16019,51.503366475,-2.696256036
16249,51.375200854,-2.863411747
16359,51.35153972,-2.900876989
16523,51.463146438,-2.513377526
16621,51.446860674,-2.606036353
16857,51.48929708,-2.571023771
16896,51.391674844,-2.860847408
16906,51.391674844,-2.860847408
17012,51.339952149,-2.956065218
17247,51.335553138,-2.910037777
17366,51.516872287,-2.693147326
17843,51.499840541,-2.684245026
17878,51.344011851,-2.976250414
18082,51.457866653,-2.562715137
18156,51.46893073,-2.739929189
18164,51.46893073,-2.739929189
18285,51.339952149,-2.956065218
18461,51.436678525,-2.555980764
18555,51.481564731,-2.538641241
18948,51.46893073,-2.739929189
19109,51.461083397,-2.585209448
19301,51.457587241,-2.584891251
19500,51.445378656,-2.614362429
19673,51.456611067,-2.649055722
19904,51.44570694,-2.548176383
20021,51.43595272,-2.619990395
20349,51.35445005,-2.908258123
20579,51.317159269,-2.961330893
20977,51.456034504,-2.605582182
21105,51.477768428,-2.721352998
21522,51.453089082,-2.597829316
21581,51.431811079,-2.609030569
21640,51.345504237,-2.98058957
21908,51.465739595,-2.606718384
22254,51.446860674,-2.606036353
22289,51.516872287,-2.693147326
22872,51.488507349,-2.662989668
23178,51.43753993,-2.605337478
23256,51.428195966,-2.562350433
23273,51.428195966,-2.562350433
23284,51.46893073,-2.739929189
23655,51.444273226,-2.619383669
23995,51.313263569,-2.885205029
24007,51.313263569,-2.885205029
24168,51.499065563,-2.662624292
24193,51.463558031,-2.575740518
24370,51.481564731,-2.538641241
24489,51.454304138,-2.626859365
24502,51.454304138,-2.626859365
24649,51.44349943,-2.57721476
25322,51.46893073,-2.739929189
25458,51.490675887,-2.545835109
25576,51.483331105,-2.519825502
25692,51.447443251,-2.620146066
26491,51.339952149,-2.956065218
26507,51.339952149,-2.956065218
27027,51.391674844,-2.860847408
27077,51.330994685,-2.795119676
27111,51.409742288,-2.547745998
27165,51.344011851,-2.976250414
27222,51.46893073,-2.739929189
27225,51.46893073,-2.739929189
27829,51.45860546,-2.591625937
28693,51.464961372,-2.545528114
29177,51.470548265,-2.580449989
29180,51.470548265,-2.580449989
29181,51.470548265,-2.580449989
29390,51.435447872,-2.615121081
29471,51.450988007,-2.606004676
29728,51.462914481,-2.578611344
29755,51.460869887,-2.573835459
29767,51.460869887,-2.573835459
30060,51.457257205,-2.577100494
30103,51.46893073,-2.739929189
30487,51.46893073,-2.739929189
30587,51.46782585,-2.62042246
31135,51.49357992,-2.667514224
31503,51.442634247,-2.623246325
31506,51.442634247,-2.623246325
31589,51.48057562,-2.54642008
32282,51.417884097,-2.58767729
32460,51.48057562,-2.54642008
32734,51.440394213,-2.551724023
33470,51.459357799,-2.588641815
33609,51.454304138,-2.626859365
33806,51.448572905,-2.622463801
33851,51.477768428,-2.721352998
34048,51.463843646,-2.514321022
34480,51.476487248,-2.724975729
34538,51.339952149,-2.956065218
34779,51.391674844,-2.860847408
34867,51.468991993,-2.567746873
34913,51.448672265,-2.583942657
35309,51.48057562,-2.54642008
35669,51.497645634,-2.687482227
35923,51.462901536,-2.555263093
36145,51.391673,-2.8608474
36340,51.456155,-2.5814044
36400,51.476486,-2.7249757
36406,51.476486,-2.7249757
36418,51.476486,-2.7249757
36829,51.429189,-2.6351459
36974,51.48819,-2.64864
37056,51.473591,-2.6129849
37319,51.461448,-2.5927855
37510,51.427279,-2.8586685
37778,51.480365,-2.5350991
38016,51.467991,-2.5951449
38062,51.435446,-2.6151211
38703,51.368544051,-2.807061101
38761,51.410331,-2.5765668
39155,51.489111,-2.5919056
39618,51.463842,-2.514321
39712,51.476486,-2.7249757
39738,51.492129,-2.5424388
39844,51.467778,-2.620609
40382,51.4629,-2.5552631
40386,51.4629,-2.5552631
40426,51.436272,-2.5673122
40484,51.490428,-2.6790773
42653,51.464429,-2.6197862
43285,51.50508,-2.6545566
43547,51.475296,-2.7003064
43729,51.440826,-2.6042443
43977,51.361003,-2.9335229
44070,51.476486,-2.7249757
44086,51.450653,-2.6249529
44231,51.391673,-2.8608474
44329,51.464827,-2.5412511
44500,51.457363,-2.577145
44680,51.480847,-2.7026811
44714,51.476486,-2.7249757
44716,51.476486,-2.7249757
44845,51.307069,-2.8258368
45026,51.424562,-2.5586095
45190,51.312214,-2.8319121
45213,51.480365,-2.5350991
45256,51.344069,-2.9692164
45628,51.414525,-2.6299529
46207,51.33995,-2.9560652
46350,51.432463,-2.7616655
