hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
8919583b373ffff,42.802083333333336,0.0,7,8919583942fffff,1.0,6.0,51.48479998021865,-2.5260725997395213,541.8028100536931
8919586668fffff,47.5,0.0,33,89195862eb3ffff,1.0,4.0,51.36262174941671,-2.7436830771974763,601.2705801520663
89195876567ffff,420.0885416666667,0.0,2,8919587652fffff,1.0,2.0,51.4729483678971,-2.623139945639284,5317.618550803203
891958392a3ffff,125.02380952380952,0.0,2,8919583907bffff,1.0,4.0,51.46214619603271,-2.5840301598075723,1582.5923891621553
891958394a7ffff,239.92857142857142,0.0,4,8919583942fffff,1.0,6.0,51.48138811572128,-2.5370364110434,3037.0945544823917
89195867107ffff,547.5681818181819,0.0,28,89195860b83ffff,1.0,3.0,51.33516731044574,-2.790575324161352,6931.297649571165
8919580cbcfffff,792.7321428571429,0.0,13,8919587652fffff,1.0,2.0,51.50580061294074,-2.6136914983919826,10034.66348296642
891958740b3ffff,88.41203703703704,0.0,16,89195876c5bffff,2.0,8.0,51.43874093292289,-2.692054856520954,1119.1485642460048
8919580db13ffff,476.875,0.0,23,8919587652fffff,1.0,2.0,51.5165349939926,-2.693596929255953,6036.440166526665
89195876c3bffff,35.729166666666664,0.0,2,89195876c73ffff,1.0,2.0,51.43918896034116,-2.6059810798761807,452.2715109477165
89195876207ffff,175.06944444444446,0.0,15,8919587652fffff,1.0,2.0,51.47441133682158,-2.681078484712895,2216.086451116022
891958773afffff,3152.25,0.0,27,8919587652fffff,1.0,2.0,51.46778585693977,-2.739041910195916,39902.214448091596
8919587414fffff,543.4270833333334,0.0,22,89195876c5bffff,3.0,10.0,51.41950264793942,-2.6983211556786593,6878.878266656392
8919583902bffff,677.6805555555555,0.0,3,8919583907bffff,1.0,4.0,51.45813601979513,-2.563699423470489,8578.302753613967
89195876637ffff,786.824074074074,0.0,13,8919587652fffff,1.0,2.0,51.48900538725989,-2.6638382370404714,9959.87721044486
89195876013ffff,826.3636363636364,0.0,9,8919587652fffff,1.0,2.0,51.481899070997834,-2.649748001973295,10460.381959009153
89195876c57ffff,629.275,2.0,0,89195876c57ffff,1.0,2.0,51.44661588079893,-2.6153558713621896,7965.569354214557
89195876d6fffff,11.791666666666666,0.0,9,89195876c73ffff,1.0,2.0,51.418433998529736,-2.5950719480825595,149.26278437108311
89195876d63ffff,30.166666666666668,0.0,8,89195876c73ffff,1.0,2.0,51.421225848412085,-2.5935025274775914,381.85956142990875
89195876bbbffff,9.541666666666666,0.0,13,89195876c73ffff,1.0,2.0,51.40599877498448,-2.62011408622345,120.78154636387997
89195839503ffff,348.125,0.0,5,8919583942fffff,1.0,6.0,51.46838103084489,-2.5308180618846725,4406.680436114486
89195876863ffff,5.208333333333333,0.0,8,89195876c73ffff,1.0,2.0,51.41901159052859,-2.6263501228874664,65.92879168334059
89195839647ffff,5.895833333333333,0.0,7,8919587652fffff,1.0,2.0,51.48289479201029,-2.594942646072103,74.63139218554156
8919583933bffff,29.041666666666668,0.0,3,89195839357ffff,1.0,9.0,51.441394374638804,-2.5731264294021594,367.61894242630717
89195839ebbffff,147.125,0.0,2,89195839eb7ffff,1.0,11.0,51.42995295199689,-2.543444744796,1862.3565074710052
891958392cbffff,60.041666666666664,0.0,2,8919587652fffff,1.0,2.0,51.47141935290048,-2.6059225215836883,760.0271105255504
89195839157ffff,10.25,0.0,7,8919583901bffff,3.0,15.0,51.45102012815196,-2.549639933614055,129.74786203281428
8919583942fffff,36.666666666666664,6.0,0,8919583942fffff,1.0,6.0,51.47518588406655,-2.5495724645970728,464.13869345071777
8919580db23ffff,156.25,0.0,21,8919587652fffff,1.0,2.0,51.50600536235904,-2.6904654926290426,1977.863750500218
8919583984fffff,9.875,0.0,6,89195839eb7ffff,1.0,11.0,51.41104584740422,-2.545062424521902,125.00098903161377
8919583932bffff,35.625,0.0,4,89195839357ffff,2.0,13.0,51.438603657340714,-2.5746971331390727,450.9529351140497
89195877587ffff,9.5,0.0,21,8919587652fffff,1.0,2.0,51.497630501922686,-2.6951697343126084,120.25411603041324
891958391c3ffff,240.16666666666666,0.0,6,8919583901bffff,1.0,2.0,51.4565994355246,-2.5464959098850013,3040.1084421022015
8919583930fffff,807.1527777777778,0.0,2,89195839357ffff,1.0,9.0,51.443870628879786,-2.57624893407265,10217.204609806238
8919586e077ffff,12.166666666666666,0.0,10,8919586e613ffff,1.0,3.0,51.32051405554093,-2.9610861434216837,154.00965737228364
89195862cc3ffff,51.333333333333336,0.0,5,89195862eb3ffff,1.0,4.0,51.43648703037783,-2.8424230501230556,649.794170831005
89195875267ffff,470.5833333333333,0.0,8,89195862eb3ffff,1.0,4.0,51.43993472690164,-2.8314600579249434,5956.79818617319
8919586289bffff,364.0520833333333,0.0,4,89195862eb3ffff,1.0,4.0,51.41755529975063,-2.843946790587998,4608.2906810821405
89195838243ffff,3.0,0.0,9,89195839eb7ffff,2.0,17.0,51.45289568034938,-2.5214831504896345,37.974984009604185
89195839e6bffff,5.375,0.0,7,89195839eb7ffff,1.0,11.0,51.42311599505366,-2.565352099024142,68.03851301720749
891958395c3ffff,391.0833333333333,0.0,3,8919583942fffff,1.0,6.0,51.47612302108259,-2.535487648509823,4950.461109918679
89195839027ffff,7.166666666666667,0.0,5,8919583901bffff,2.0,6.0,51.455973148256795,-2.555883176352531,90.71801735627666
89195876c63ffff,9.416666666666666,0.0,1,89195876c73ffff,1.0,2.0,51.43855704377916,-2.615369197065473,119.19925536347979
891958744d7ffff,2.5833333333333335,0.0,17,8919587652fffff,1.0,2.0,51.46539677894824,-2.695178565660281,32.70068067493694
89195839007ffff,24.125,0.0,2,8919583901bffff,1.0,2.0,51.463715555100755,-2.5605560274291257,305.38216307723366
891958390dbffff,10.958333333333334,0.0,3,8919583901bffff,1.0,2.0,51.476409558369944,-2.5714778438525023,138.71417770174864
8919587690bffff,80.79166666666667,0.0,13,89195876c73ffff,1.0,2.0,51.40726533426286,-2.6013483066835743,1022.6874165919794
89195839367ffff,10.666666666666666,0.0,4,89195839357ffff,2.0,13.0,51.43828907397975,-2.579390118140294,135.02216536748153
89195876533ffff,96.61666666666666,0.0,2,8919587652fffff,1.0,2.0,51.47637002410323,-2.6121755179040074,1223.0054572426413
8919583929bffff,458.25,0.0,5,8919587652fffff,2.0,6.0,51.47236368404713,-2.5918333915998755,5800.678807467039
89195839037ffff,39.541666666666664,0.0,4,8919583901bffff,1.0,2.0,51.45876285893866,-2.554311321347786,500.5313864599218
8919587608fffff,30.875,0.0,8,8919587652fffff,1.0,2.0,51.48221563152054,-2.645049302255,390.8258770988431
8919587698bffff,394.7083333333333,0.0,11,89195876c73ffff,1.0,2.0,51.41316581312987,-2.593518889190269,4996.347548930284
8919586565bffff,352.375,0.0,7,89195860b83ffff,1.0,3.0,51.33504221023301,-2.9079183336853753,4460.478330128091
89195876973ffff,215.83333333333334,0.0,14,89195876c73ffff,1.0,2.0,51.40447285206773,-2.6029170654510896,2732.0891273576344
89195876197ffff,37.291666666666664,0.0,1,8919587652fffff,1.0,2.0,51.46799799649395,-2.616885850060372,472.05014845271864
89195876123ffff,581.125,0.0,2,89195876c5bffff,1.0,5.0,51.45404208430596,-2.6247337518298344,7356.070860860411
89195875013ffff,5.208333333333333,0.0,19,89195862eb3ffff,1.0,4.0,51.453388262454496,-2.7923049954247205,65.92879168334059
891958666cfffff,23.791666666666668,0.0,30,89195862eb3ffff,1.0,4.0,51.36444930437627,-2.7561974916806604,301.16272040949985
89195876dbbffff,307.875,0.0,8,89195839357ffff,2.0,13.0,51.42775439994178,-2.5762864694316545,3897.1827339856295
891958393bbffff,369.5416666666667,0.0,4,89195839357ffff,1.0,9.0,51.447289442776544,-2.5652912251637767,4677.779627516382
891958395c7ffff,144.33333333333334,0.0,4,8919583942fffff,1.0,6.0,51.473646420621954,-2.53236613497632,1827.0186751287347
8919586e407ffff,103.91666666666667,0.0,8,8919586e613ffff,1.0,3.0,51.34327236125976,-2.9439578370105886,1315.4112516660116
8919586084bffff,18.333333333333332,0.0,6,89195860b83ffff,1.0,3.0,51.36915222254094,-2.920564438375481,232.06934672535888
89195860823ffff,8.708333333333334,0.0,3,89195860b83ffff,1.0,3.0,51.35992648231964,-2.898607474168401,110.2329396945455
89195861937ffff,16.333333333333332,0.0,6,8919586e613ffff,1.0,3.0,51.35562628118754,-2.959671115328582,206.7526907189561
8919586e2bbffff,98.33333333333333,0.0,8,8919586e613ffff,1.0,3.0,51.324455736617686,-2.9814579780114094,1244.7355869814705
89195876543ffff,373.4166666666667,0.0,5,8919587652fffff,1.0,2.0,51.48316411223533,-2.630953917087113,4726.830648528788
89195876433ffff,8.208333333333334,0.0,9,8919587652fffff,1.0,2.0,51.493694857263584,-2.6340718293203236,103.90377569294479
891958666afffff,9.041666666666666,0.0,35,89195862eb3ffff,1.0,4.0,51.35487580018226,-2.7389872778546294,114.45238236227927
8919580dd43ffff,19.75,0.0,26,8919587652fffff,1.0,2.0,51.537335968058585,-2.663798734962654,250.00197806322754
8919587694fffff,20.083333333333332,0.0,13,89195876c73ffff,1.0,2.0,51.40663245404122,-2.6107309583218337,254.22142073096134
89195862117ffff,25.666666666666668,0.0,7,89195862eb3ffff,1.0,4.0,51.446373342094724,-2.8549861269460273,324.8970854155025
8919586e303ffff,84.625,0.0,15,8919586e613ffff,1.0,3.0,51.306493398542614,-2.9688517252346815,1071.2110072709181
8919586e487ffff,40.208333333333336,0.0,7,89195860b83ffff,1.0,3.0,51.34920883635439,-2.936151438754616,508.97027179538946
89195862167ffff,190.1875,0.0,4,89195862eb3ffff,1.0,4.0,51.43765458972255,-2.864369259662018,2407.4557571088653
89195862913ffff,5.791666666666667,0.0,13,89195862eb3ffff,1.0,4.0,51.394653737791714,-2.825102132842163,73.31281635187474
891958655d7ffff,3.9791666666666665,0.0,19,89195860b83ffff,1.0,3.0,51.32382759519114,-2.8374752684077387,50.36959684607221
89195875a37ffff,123.21666666666667,0.0,21,89195862eb3ffff,1.0,4.0,51.38671200431376,-2.7843852053424225,1559.7169821277985
8919587649bffff,235.45833333333334,0.0,14,8919587652fffff,1.0,2.0,51.507014888123734,-2.635620725836427,2980.508814420462
891958652abffff,12.75,0.0,17,89195860b83ffff,1.0,3.0,51.30900116259022,-2.895313949406795,161.3936820408178
89195875187ffff,343.7916666666667,0.0,21,89195862eb3ffff,1.0,4.0,51.43672412899326,-2.760952625894721,4351.827681433946
8919586e6abffff,84.16666666666667,0.0,2,8919586e613ffff,1.0,3.0,51.341278546481384,-2.9721387585212375,1065.4092736027842
8919586e39bffff,8.916666666666666,0.0,12,8919586e613ffff,1.0,3.0,51.31490617028919,-2.9641927707198072,112.87009136187909
8919583b33bffff,399.2291666666667,0.0,8,8919583942fffff,1.0,6.0,51.48263464634451,-2.518256435852233,5053.573740111424
89195876dafffff,725.9305555555555,0.0,9,89195839eb7ffff,1.0,11.0,51.422486744772044,-2.574735097054884,9189.067079768434
89195876183ffff,682.0486111111111,0.0,2,8919587652fffff,1.0,2.0,51.467682296156745,-2.621582525754073,8633.595033572396
89195862e8fffff,120.66666666666667,0.0,2,89195862eb3ffff,1.0,4.0,51.42958737221766,-2.864347875973803,1527.438245719635
891958764a7ffff,253.625,0.0,9,8919587652fffff,1.0,2.0,51.49432599024655,-2.624673595691539,3210.468439811954
8919580cb6bffff,650.1388888888889,0.0,9,8919587652fffff,1.0,2.0,51.4946412565397,-2.619974657734002,8229.671303192463
8919586e0d3ffff,15.652777777777779,0.0,5,8919586e613ffff,1.0,3.0,51.33666999487789,-2.961155795323563,198.13799527233294
8919586196bffff,57.291666666666664,0.0,4,8919586e613ffff,1.0,3.0,51.356766546269235,-2.981608693461577,725.2167085167465
8919587646fffff,201.23611111111111,0.0,10,8919587652fffff,1.0,2.0,51.48995576003804,-2.6497394590100556,2547.3127005331253
8919586e667ffff,436.5,0.0,4,8919586e613ffff,1.0,3.0,51.33500474432808,-2.9846395272187176,5525.360173397409
89195839e43ffff,639.6805555555555,0.0,7,89195839357ffff,3.0,24.0,51.431174408970286,-2.565331813389432,8097.286289492315
8919586094bffff,159.54166666666666,0.0,2,89195860b83ffff,1.0,3.0,51.351852445908726,-2.898581348279801,2019.530746844089
89195876127ffff,1544.0,0.0,1,89195876c5bffff,1.0,5.0,51.451566762850945,-2.621607448390544,19544.458436942954
89195839377ffff,578.1916666666667,0.0,3,89195839357ffff,2.0,13.0,51.44107991471909,-2.577819592365378,7318.939765384353
89195876217ffff,144.4404761904762,0.0,15,8919587652fffff,1.0,2.0,51.4772034835944,-2.679510656209727,1828.3749245576491
891958395afffff,411.125,0.0,8,8919583942fffff,1.0,6.0,51.46373922535236,-2.519883513587935,5204.155100316173
8919583934bffff,740.65625,0.0,1,89195839343ffff,1.0,4.0,51.448193321527526,-2.5918832038430923,9375.469750121132
891958655b7ffff,362.6666666666667,0.0,24,89195860b83ffff,1.0,3.0,51.31426214207122,-2.8202529428992538,4590.753622494372
891958393d3ffff,806.8583333333333,0.0,2,8919583907bffff,1.0,4.0,51.45719426294843,-2.57778247539004,10213.477435449739
89195839343ffff,356.3333333333333,4.0,0,89195839343ffff,1.0,4.0,51.448508210175646,-2.587189028505279,4510.58421180743
89195875cabffff,486.4583333333333,0.0,27,89195862eb3ffff,1.0,4.0,51.41381922922102,-2.7421465515524326,6157.749143224011
89195839ec7ffff,1215.638888888889,0.0,5,89195839eb7ffff,1.0,11.0,51.434592999106314,-2.55437679240799,15387.955789002852
8919587665bffff,758.4166666666666,0.0,20,8919587652fffff,1.0,2.0,51.50074022565792,-2.688900230904346,9600.286929761323
8919587612fffff,1278.4444444444443,0.0,1,89195876c5bffff,1.0,5.0,51.45125052204282,-2.6263029345400075,16182.96911164836
89195867117ffff,653.0416666666666,0.0,28,89195860b83ffff,1.0,3.0,51.33796651069027,-2.789015225139471,8266.415616423978
891958642cbffff,494.125,0.0,24,89195860b83ffff,1.0,3.0,51.30585966272596,-2.8249275369941707,6254.796324581889
8919587695bffff,474.25,0.0,11,89195876c73ffff,1.0,2.0,51.411901039706116,-2.6122856161303827,6003.212055518262
8919587685bffff,759.4583333333334,0.0,7,89195876c5bffff,3.0,10.0,51.429230695750014,-2.634157567484292,9613.472688097992
89195876eabffff,1084.6666666666667,0.0,4,89195876c5bffff,3.0,10.0,51.440083007277195,-2.6325783403827794,13730.06644080578
89195876aa7ffff,401.5833333333333,0.0,10,89195876c43ffff,2.0,5.0,51.418377147291686,-2.6357362213637736,5083.373553952293
89195876bd7ffff,638.1666666666666,0.0,10,89195876c73ffff,1.0,2.0,51.41342603695478,-2.629486338750344,8078.122987376356
89195875137ffff,74.59375,0.0,21,89195862eb3ffff,1.0,4.0,51.42586437770217,-2.7625092259096067,944.232154488804
8919586558bffff,12.510416666666666,0.0,20,89195860b83ffff,1.0,3.0,51.32135452459405,-2.834341784673095,158.3609576233841
891958751bbffff,153.85416666666666,0.0,20,89195862eb3ffff,1.0,4.0,51.43392873454537,-2.7625164049356967,1947.5365063258812
89195865533ffff,51.760416666666664,0.0,22,89195860b83ffff,1.0,3.0,51.31080637592793,-2.831191919594976,655.2003317490388
8919587656fffff,48.875,0.0,3,8919587652fffff,1.0,2.0,51.472632514355375,-2.6278372166462387,618.6757811564681
8919583903bffff,61.572916666666664,0.0,3,8919583901bffff,2.0,6.0,51.46092585077843,-2.5621277917623053,779.4101752804526
891958764cfffff,210.5,0.0,13,8919587652fffff,1.0,2.0,51.5035930016646,-2.6465915707203655,2664.5780446738936
89195839e53ffff,273.44444444444446,0.0,6,89195839357ffff,1.0,9.0,51.43396513563139,-2.5637609734926667,3461.3494684309594
8919587659bffff,52.138888888888886,0.0,7,8919587652fffff,1.0,2.0,51.48969124387281,-2.6137186373863237,659.9911572780283
89195875a03ffff,31.833333333333332,0.0,18,89195862eb3ffff,1.0,4.0,51.39413146152824,-2.7937872819028744,402.9567747685777
89195876c07ffff,330.4583333333333,0.0,2,89195876c73ffff,1.0,2.0,51.44198041505597,-2.604411490036781,4183.049974724594
89195876b87ffff,332.46875,0.0,12,89195876c73ffff,1.0,2.0,51.40879162423409,-2.6185459071171038,4208.498488314363
8919583924fffff,50.854166666666664,0.0,3,8919583926fffff,2.0,5.0,51.46304730590197,-2.610633128395104,643.7287219961376
89195839e73ffff,107.73958333333333,0.0,5,89195839eb7ffff,1.0,11.0,51.42622118017717,-2.5590899814509176,1363.8029847615835
8919580d927ffff,207.19444444444446,0.0,14,8919587652fffff,1.0,2.0,51.50575108666424,-2.6544231507101337,2622.735238218867
8919587624fffff,167.08333333333334,0.0,19,8919587652fffff,1.0,2.0,51.47592994022332,-2.698308774156292,2114.9956372015663
8919580ca63ffff,171.70833333333334,0.0,16,8919587652fffff,1.0,2.0,51.51227938342979,-2.6371806563674323,2173.5404042163727
89195839097ffff,517.1354166666666,0.0,1,8919583942fffff,1.0,6.0,51.472396809998095,-2.551144937580927,6546.069726238888
8919586546bffff,12.947916666666666,0.0,11,89195860b83ffff,1.0,3.0,51.326802654332205,-2.8718989820518903,163.89897612478472
891958761abffff,18.145833333333332,0.0,4,89195876c5bffff,3.0,10.0,51.45962482904016,-2.621594988809076,229.69591022475862
89195876c73ffff,327.5833333333333,2.0,0,89195876c73ffff,1.0,2.0,51.4413487452998,-2.6137999636222875,4146.65728171539
8919586e41bffff,583.84375,0.0,6,8919586e613ffff,1.0,3.0,51.34821417191665,-2.95024211947996,7390.485690119114
89195876c0fffff,25.395833333333332,0.0,1,89195876c73ffff,1.0,2.0,51.44166468010215,-2.6091056672145636,321.46878824796875
8919583957bffff,126.73958333333333,0.0,4,8919583942fffff,1.0,6.0,51.46496744663623,-2.5417788795966625,1604.31121682241
89195839057ffff,2395.097222222222,0.0,1,8919583901bffff,1.0,2.0,51.46835430853838,-2.571497289301409,30317.92623844543
89195839497ffff,2571.7361111111113,0.0,6,8919583942fffff,1.0,6.0,51.491917666948744,-2.540134839417949,32553.879232122035
89195876943ffff,68.29166666666667,0.0,12,89195876c73ffff,1.0,2.0,51.40942505655493,-2.6091624231544057,864.458316551962
8919587629bffff,869.75,0.0,16,8919587652fffff,1.0,2.0,51.48526144869722,-2.6795062638378524,11009.580780784414
891958741b7ffff,621.625,0.0,16,89195876c5bffff,3.0,10.0,51.41894399692992,-2.6670246038912975,7868.733144990067
891958764cbffff,17.083333333333332,0.0,14,8919587652fffff,1.0,2.0,51.5060673374181,-2.6497223659330875,216.24643672135716
89195876663ffff,334.9583333333333,0.0,17,8919587652fffff,1.0,2.0,51.49052718014695,-2.6810701364754057,4240.012450739
8919580c86fffff,6.958333333333333,0.0,15,8919587652fffff,1.0,2.0,51.51169385590436,-2.605849231824767,88.08086568894304
8919586610bffff,16.041666666666668,0.0,45,89195862eb3ffff,1.0,4.0,51.32453281127895,-2.710842327535282,203.06067838468906
89195839187ffff,39.958333333333336,0.0,9,89195839eb7ffff,2.0,17.0,51.45227129471357,-2.530868264116806,505.8056897945891
8919580db17ffff,221.08333333333334,0.0,22,8919587652fffff,1.0,2.0,51.51406152172427,-2.690462626534582,2798.5453493744417
8919583946fffff,334.4166666666667,0.0,3,8919583901bffff,2.0,8.0,51.477036267024886,-2.5620862899700554,4233.155856403933
89195876d3bffff,229.875,0.0,9,89195876c73ffff,1.0,2.0,51.42185669593534,-2.584118573361641,2909.8331497359204
89195876463ffff,20.569444444444443,0.0,10,8919587652fffff,1.0,2.0,51.49274665655105,-2.6481700731674285,260.37477462140646
8919586e1c7ffff,10.208333333333334,0.0,13,8919586e613ffff,1.0,3.0,51.3140979445913,-2.937580274052994,129.22043169934759
89195867113ffff,2.0833333333333335,0.0,27,89195860b83ffff,1.0,3.0,51.3404401832267,-2.7921465829315593,26.37151667333624
89195875e93ffff,73.16666666666667,0.0,19,89195862eb3ffff,1.0,4.0,51.422422984006566,-2.7734678588216632,926.1676655675687
8919586718fffff,36.875,0.0,28,89195860b83ffff,1.0,3.0,51.34076558487559,-2.7874549942924793,466.77584511805145
8919580ca2bffff,239.125,0.0,15,8919587652fffff,1.0,2.0,51.51012022706513,-2.629349877676057,3026.9226837655333
89195839adbffff,69.375,0.0,9,89195839eb7ffff,1.0,11.0,51.42001023692486,-2.5716138482679987,878.1715052220968
89195860a3bffff,206.81944444444446,0.0,7,89195860b83ffff,1.0,3.0,51.360086212208756,-2.9346273980017297,2617.9883652176663
89195876e63ffff,247.5,0.0,8,89195876c5bffff,3.0,10.0,51.43633903938615,-2.648231357093114,3132.936180792345
89195860a8bffff,14.791666666666666,0.0,8,89195860b83ffff,1.0,3.0,51.37096235428435,-2.9331028034459456,187.2377683806873
8919583b30fffff,15.166666666666666,0.0,8,8919583942fffff,1.0,6.0,51.48511138947248,-2.521377488235558,191.98464138188783
89195876107ffff,2.5,0.0,4,89195876c5bffff,1.0,5.0,51.459308758471316,-2.626291129232071,31.645820008003486
8919587463bffff,488.9166666666667,0.0,23,89195876c5bffff,1.0,5.0,51.44983103175,-2.7265030140547633,6188.867532898549
89195866257ffff,61.75,0.0,32,89195860b83ffff,1.0,3.0,51.342065190661266,-2.768689806767906,781.6517541976862
891958392d3ffff,259.3333333333333,0.0,4,8919587652fffff,1.0,2.0,51.47452463545659,-2.5996553795951094,3282.726395496895
89195876b6fffff,13.75,0.0,16,89195876c73ffff,1.0,2.0,51.39666634195146,-2.638891810694997,174.05201004401917
89195876187ffff,25.083333333333332,0.0,2,8919587652fffff,1.0,2.0,51.46520706731055,-2.6184556955582017,317.5130607469683
8919583932fffff,30.0,0.0,5,89195839357ffff,2.0,13.0,51.43612732056868,-2.571575016926303,379.74984009604185
89195876aa3ffff,908.875,0.0,10,89195876c5bffff,3.0,10.0,51.420852583072076,-2.6388616770626907,11504.837863909668
